Code,City,Country
IXA,Agartala,India
AGX,Agatti Island,India
AGR,Agra,India
AMD,Ahmedabad,India
AJL,Aizawl,India
IXD,Allahabad,India
ATQ,Amritsar,India
IXU,Aurangabad,India
IXB,Bagdogra,India
BHV,Bahawalpur,India
BLR,Bangalore,India
IXG,Belgaum,India
BEP,Bellary,India
BHU,Bhavnagar,India
BHO,Bhopal,India
BBI,Bhubaneswar,India
BHJ,Bhuj,India
BIR,Biratnagar,India
BOM,Bombay,India
CCU,Calcutta,India
CCJ,Calicut,India
IXC,Chandigarh,India
MAA,Channai,India
COK,Cochin,India
CJB,Coimbatore,India
DEL,Delhi,India
DIB,Dibrugarh,India
DMU,Dimapur,India
DIU,Diu,India
GAU,Gawahati,India
GAY,Gaya,India
GOI,Goa,India
GOP,Gorakhpur,India
GWL,Gwalior,India
HBX,Hubli,India
HYD,Hyderabad,India
IMF,Imphal,India
IDR,Indore,India
JLR,Jabalpur,India
JAI,Jaipur,India
IXJ,Jammu,India
JGA,Jamnagar,India
IXW,Jamshedpur,India
JDH,Jodhpur,India
JRH,Jorhat,India
IXY,Kandla,India
KNU,Kanpur,India
HJR,Khajuraho,India
KCZ,Kochi,India
KLH,Kolhapur,India
KUU,Kulu,India
IXL,Leh,India
IXI,Lilabari,India
LKO,Lucknow,India
IXM,Madurai,India
IXE,Mangaluru,India
NAG,Nagpur,India
IXP,Pathankot,India
PAT,Patna,India
PBD,Porbandar,India
IXZ,Port Blair,India
PNQ,Pune,India
RPR,Raipur,India
RJA,Rajahmundry,India
RAJ,Rajkot,India
IXR,Ranchi,India
SHL,Shillong,India
SLV,Shimla,India
IXS,Silchar,India
SXR,Srinagar,India
STV,Surat,India
TRV,Thiruvananthapuram,India
TRZ,Tiruchirappalli,India
TIR,Tirupati,India
TCR,Tuticorin,India
UDR,Udaipur,India
BDQ,Vadodara,India
VNS,Varanasi,India
VGA,Vijayawada,India
VTZ,Vishakhapatnam,India
